title,plot,poster_url,genres
Notorious,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,http://ia.media-imdb.com/images/M/MV5BMTY3NTAwMjk5OV5BMl5BanBnXkFtZTgwNDU5OTQzMTE@.jpg,"[""Drama"", ""Film-Noir"", ""Romance"", ""Thriller""]"
A Fistful of Dollars,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",http://ia.media-imdb.com/images/M/MV5BMTAzODAxMzg1MzZeQTJeQWpwZ15BbWU3MDgwMzE5ODk@.jpg,"[""Western""]"
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",http://ia.media-imdb.com/images/M/MV5BMjAyNDM4MTc2N15BMl5BanBnXkFtZTYwNDk0Mjc3.jpg,"[""Action"", ""Adventure"", ""Fantasy""]"
Who's Afraid of Virginia Woolf?,"A bitter aging couple with the help of alcohol, use a young couple to fuel anguish and emotional pain towards each other.",http://ia.media-imdb.com/images/M/MV5BMjIyMjgyNzA3OV5BMl5BanBnXkFtZTgwOTUxNzYxMTE@.jpg,"[""Drama"", ""Romance""]"
Castle in the Sky,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,http://ia.media-imdb.com/images/M/MV5BMTU4MTUyMTc3MV5BMl5BanBnXkFtZTYwOTg4Mzk5.jpg,"[""Animation"", ""Adventure"", ""Family"", ""Fantasy""]"
Roman Holiday,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,http://ia.media-imdb.com/images/M/MV5BMTg1ODgzODA1Nl5BMl5BanBnXkFtZTcwNTI0MzU3Mg@@.jpg,"[""Comedy"", ""Romance""]"
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African-American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",http://ia.media-imdb.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@.jpg,"[""Drama""]"
La Strada,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",http://ia.media-imdb.com/images/M/MV5BMTgzNTI2MDAxOF5BMl5BanBnXkFtZTgwMTAyODEwMzE@.jpg,"[""Drama""]"
The Night of the Hunter,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery.",http://ia.media-imdb.com/images/M/MV5BMTU5MTMwMzMyN15BMl5BanBnXkFtZTcwODI3Njk3OA@@.jpg,"[""Crime"", ""Drama"", ""Film-Noir"", ""Thriller""]"
"Spring, Summer, Fall, Winter... and Spring","On an isolated lake, an old monk lives on a small floating temple. The wise master has also a young boy with him who learns to become a monk. And we watch as seasons and years pass by.",http://ia.media-imdb.com/images/M/MV5BMTI0ODMwOTIxOV5BMl5BanBnXkFtZTcwMzE2NDUyMQ@@.jpg,"[""Drama""]"
Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",http://ia.media-imdb.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@.jpg,"[""Crime"", ""Drama"", ""Mystery"", ""Thriller""]"
Underground,The story follows an underground weapons manufacturer in Belgrade during WWII and evolves into fairly surreal situations...,http://ia.media-imdb.com/images/M/MV5BMTgxMjI0MzY4MV5BMl5BanBnXkFtZTcwMzYxMzQyMQ@@.jpg,"[""Comedy"", ""Drama"", ""War""]"
X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,http://ia.media-imdb.com/images/M/MV5BMjEwMDk2NzY4MF5BMl5BanBnXkFtZTgwNTY2OTcwMDE@.jpg,"[""Action"", ""Adventure"", ""Sci-Fi"", ""Thriller""]"
Le Samouraï,"After killing a night-club owner, professional hitman Jef Costello is n by witnesses. His efforts to provide himself with an alibi fail and  and  he gets driven into a corner.",http://ia.media-imdb.com/images/M/MV5BMTg4OTg0ODEwN15BMl5BanBnXkFtZTcwNjcyMjEzMQ@@.jpg,"[""Crime"", ""Drama"", ""Mystery"", ""Thriller""]"
Boyhood,"The life of Mason, from early childhood to his arrival at college.",http://ia.media-imdb.com/images/M/MV5BMTYzNDc2MDc0N15BMl5BanBnXkFtZTgwOTcwMDQ5MTE@.jpg,"[""Drama""]"
The Big Sleep,"Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's n murder, blackmail, and what might be love.",http://ia.media-imdb.com/images/M/MV5BNjg5MjM5MzY5M15BMl5BanBnXkFtZTgwNjg3MzgyMjE@.jpg,"[""Crime"", ""Film-Noir"", ""Mystery"", ""Thriller""]"
Beauty and the Beast,"Belle, whose father is imprisoned by the Beast, offers herself instead, unaware her captor to be an enchanted prince.",http://ia.media-imdb.com/images/M/MV5BMTkyMDgwODY0OV5BMl5BanBnXkFtZTgwODI5NTQ5MTE@.jpg,"[""Animation"", ""Family"", ""Fantasy"", ""Musical"", ""Romance""]"
Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers...,http://ia.media-imdb.com/images/M/MV5BMTIwODMwMzA5Ml5BMl5BanBnXkFtZTcwMTQxNTEyMQ@@.jpg,"[""Adventure"", ""Drama"", ""Musical"", ""Romance"", ""Sport""]"
The Killing,Crooks plan and execute a daring race-track robbery.,http://ia.media-imdb.com/images/M/MV5BMTg1NjEwOTI0Nl5BMl5BanBnXkFtZTcwODQ2MjM2NQ@@.jpg,"[""Crime"", ""Film-Noir"", ""Thriller""]"
Three Colors: Red,Final entry in a trilogy of films dealing with contemporary French society concerns a model who discovers her neighbour is keen on invading people's privacy.,http://ia.media-imdb.com/images/M/MV5BMTkyNDE0Njk0N15BMl5BanBnXkFtZTYwNTQ4Mzk5.jpg,"[""Drama"", ""Mystery"", ""Romance""]"
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",http://ia.media-imdb.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3.jpg,"[""Drama"", ""Romance""]"
Akira,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psionic psychopath that only two kids and a group of psionics can stop.,http://ia.media-imdb.com/images/M/MV5BNTk0MjE2NDc1Nl5BMl5BanBnXkFtZTgwODM3NTU3MzE@.jpg,"[""Animation"", ""Action"", ""Sci-Fi""]"
Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",http://ia.media-imdb.com/images/M/MV5BMTY2NjE5NDk3OV5BMl5BanBnXkFtZTcwMTU3Njk3OA@@.jpg,"[""Biography"", ""Crime"", ""Drama""]"
The Hustler,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,http://ia.media-imdb.com/images/M/MV5BNDQ2NzcyMTU2MF5BMl5BanBnXkFtZTcwMjYyMjA0Mg@@.jpg,"[""Drama"", ""Sport""]"
The Graduate,A disillusioned college graduate finds himself torn between his older lover and her daughter.,http://ia.media-imdb.com/images/M/MV5BMTQ0ODc4MDk4Nl5BMl5BanBnXkFtZTcwMTEzNzgzNA@@.jpg,"[""Comedy"", ""Drama"", ""Romance""]"
